日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
2019-08-08,000906,中证800,CSI 800,600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600004,白云机场,Guangzhou Baiyun International Airport Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600006,东风汽车,Dongfeng Automobile Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600008,首创股份,Beijing Capital Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600009,上海机场,Shanghai International Airport Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600011,华能国际,Huaneng Power International Inc,SHH
2019-08-08,000906,中证800,CSI 800,600015,华夏银行,Hua Xia Bank Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600016,民生银行,China Minsheng Banking Corp Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600017,日照港,Rizhao Port Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600018,上港集团,Shanghai International Port (Group) Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600021,上海电力,Shanghai Electric Power Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600022,山东钢铁,SHANDONG IRON AND STEEL COMPANY LTD,SHH
2019-08-08,000906,中证800,CSI 800,600023,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600025,华能水电,HuanengLancang River Hydropower Inc.,SHH
2019-08-08,000906,中证800,CSI 800,600026,中远海能,"COSCO SHIPPING Energy Transportation Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600027,华电国际,Huadian Power International Corporation Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600028,中国石化,China Petroleum & Chemical Corporation,SHH
2019-08-08,000906,中证800,CSI 800,600029,南方航空,China Southern Airlines Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600030,中信证券,CITIC Securities Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600031,三一重工,Sany Heavy Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600036,招商银行,China Merchants Bank Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600037,歌华有线,Beijing Gehua CATV Network Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600038,中直股份,"AVIC Helicopter Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600039,四川路桥,Sichuan Road&Bridge Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600048,保利地产,"Poly Developments and Holdings Group Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600050,中国联通,China United Network Communications Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600053,九鼎投资,"Kunwu Jiuding Investment Holdings Co., Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600056,中国医药,"China Meheco Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600058,五矿发展,Minmetals Development Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600060,海信电器,Hisense Electric Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600061,国投资本,"SDIC Capital Co., Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600062,华润双鹤,"CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600064,南京高科,NANJING GAOKE COMPANY LIMITED,SHH
2019-08-08,000906,中证800,CSI 800,600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600068,葛洲坝,China Gezhouba Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600073,上海梅林,Shanghai Maling Aquarius Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600079,人福医药,"Humanwell Healthcare (Group) Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600085,同仁堂,Beijing Tongrentang Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600089,特变电工,TBEA Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600094,大名城,Greattown Holdings Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600098,广州发展,Guangzhou Development Group Incorporated,SHH
2019-08-08,000906,中证800,CSI 800,600100,同方股份,Tsinghua Tongfang Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600104,上汽集团,SAIC Motor Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600109,国金证券,Sinolink Securities Co. Ltd.,SHH
2019-08-08,000906,中证800,CSI 800,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600115,东方航空,China Eastern Airlines Corp Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600118,中国卫星,China Spacesat Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600120,浙江东方,Zhejiang Orient Holdings Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600125,铁龙物流,China Railway Tielong Container Logistics Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600126,杭钢股份,Hang Zhou Iron & Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600138,中青旅,China CYTS Tours Holding Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600141,兴发集团,Hubei Xingfa Chemicals Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600143,金发科技,Kingfa Sci&Tech Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600151,航天机电,Shanghai Aerospace Automobile Electromechanical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600153,建发股份,Xiamen C&D Inc,SHH
2019-08-08,000906,中证800,CSI 800,600155,华创阳安,"Polaris Bay Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600158,中体产业,"China Sports Industry Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600160,巨化股份,Zhejiang Ju Hua Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600161,天坛生物,Beijing Tiantan Biological Products Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600166,福田汽车,Beiqi Foton Motor Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600167,联美控股,"Luenmei Holding Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600169,太原重工,Taiyuan Heavy Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600170,上海建工,Shanghai Construction Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600171,上海贝岭,Shanghai Belling Corp Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600176,中国巨石,"CHINA JUSHI CO., LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600177,雅戈尔,Youngor Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600179,ST安通,"Antong Holdings Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600183,生益科技,"Shengyi Technology Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600188,兖州煤业,Yanzhou Coal Mining Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600195,中牧股份,China Animal Husbandry Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600201,生物股份,"Jinyu Bio-Technology Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600208,新湖中宝,Xinhu Zhongbao Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600216,浙江医药,Zhejiang Medicine Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600219,南山铝业,"Shandong Nanshan Aluminium Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600221,海航控股,"Hainan Airlines Holding Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600233,圆通速递,"YTO Express Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600258,首旅酒店,"BTG Hotels (Group) Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600259,广晟有色,"Rising Nonferrous Metals Share Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600260,凯乐科技,"Kaile Science and Technology Co.,Ltd.Hubei",SHH
2019-08-08,000906,中证800,CSI 800,600266,北京城建,Beijing Urban Construction Investment & Development Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600267,海正药业,Zhejiang Hisun Pharmaceutical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600271,航天信息,"Aisino Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600277,亿利洁能,ELION CLEAN ENERGY COMPANY LIMITED,SHH
2019-08-08,000906,中证800,CSI 800,600280,中央商场,"Nanjing Central Emporium (Group) Stocks Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600282,南钢股份,Nanjing Iron & Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600291,西水股份,Xishui Strong Year Co Ltd Inner Mongolia,SHH
2019-08-08,000906,中证800,CSI 800,600297,广汇汽车,"China Grand Automotive Services Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600298,安琪酵母,Angel Yeast Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600299,安迪苏,Bluestar Adisseo Company,SHH
2019-08-08,000906,中证800,CSI 800,600307,酒钢宏兴,Gansu Jiu Steel Group Hongxing Iron & Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600312,平高电气,Henan Pinggao Electric Co Ltd,SHH
